shift_id,engineer_id,station,start_utc,end_utc,busy_until_utc,last_verified_at,data_class
SHIFT-FRA-02-2,ENG-FRA-02,FRA,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-03-0,ENG-FRA-03,FRA,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-03-1,ENG-FRA-03,FRA,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-03-2,ENG-FRA-03,FRA,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-04-0,ENG-FRA-04,FRA,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-04-1,ENG-FRA-04,FRA,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-04-2,ENG-FRA-04,FRA,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-01-0,ENG-AMS-01,AMS,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-01-1,ENG-AMS-01,AMS,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-01-2,ENG-AMS-01,AMS,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-02-0,ENG-AMS-02,AMS,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-02-1,ENG-AMS-02,AMS,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-02-2,ENG-AMS-02,AMS,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-03-0,ENG-AMS-03,AMS,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-03-1,ENG-AMS-03,AMS,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-03-2,ENG-AMS-03,AMS,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-04-0,ENG-AMS-04,AMS,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-04-1,ENG-AMS-04,AMS,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AMS-04-2,ENG-AMS-04,AMS,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-01-0,ENG-CDG-01,CDG,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-01-1,ENG-CDG-01,CDG,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-01-2,ENG-CDG-01,CDG,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-02-0,ENG-CDG-02,CDG,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-02-1,ENG-CDG-02,CDG,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-02-2,ENG-CDG-02,CDG,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-03-0,ENG-CDG-03,CDG,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-03-1,ENG-CDG-03,CDG,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-03-2,ENG-CDG-03,CDG,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-04-0,ENG-CDG-04,CDG,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-04-1,ENG-CDG-04,CDG,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-CDG-04-2,ENG-CDG-04,CDG,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-01-0,ENG-MUC-01,MUC,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-01-1,ENG-MUC-01,MUC,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-01-2,ENG-MUC-01,MUC,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-02-0,ENG-MUC-02,MUC,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-02-1,ENG-MUC-02,MUC,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-02-2,ENG-MUC-02,MUC,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-03-0,ENG-MUC-03,MUC,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-03-1,ENG-MUC-03,MUC,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-03-2,ENG-MUC-03,MUC,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-04-0,ENG-MUC-04,MUC,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-04-1,ENG-MUC-04,MUC,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-MUC-04-2,ENG-MUC-04,MUC,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-01-0,ENG-VIE-01,VIE,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-01-1,ENG-VIE-01,VIE,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-01-2,ENG-VIE-01,VIE,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-02-0,ENG-VIE-02,VIE,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-02-1,ENG-VIE-02,VIE,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-02-2,ENG-VIE-02,VIE,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-03-0,ENG-VIE-03,VIE,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-03-1,ENG-VIE-03,VIE,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-03-2,ENG-VIE-03,VIE,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-04-0,ENG-VIE-04,VIE,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-04-1,ENG-VIE-04,VIE,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-VIE-04-2,ENG-VIE-04,VIE,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-01-0,ENG-LHR-01,LHR,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-01-1,ENG-LHR-01,LHR,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-01-2,ENG-LHR-01,LHR,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-02-0,ENG-LHR-02,LHR,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-02-1,ENG-LHR-02,LHR,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-02-2,ENG-LHR-02,LHR,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-03-0,ENG-LHR-03,LHR,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-03-1,ENG-LHR-03,LHR,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-03-2,ENG-LHR-03,LHR,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-04-0,ENG-LHR-04,LHR,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-04-1,ENG-LHR-04,LHR,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-LHR-04-2,ENG-LHR-04,LHR,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-01-0,ENG-FCO-01,FCO,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-01-1,ENG-FCO-01,FCO,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-01-2,ENG-FCO-01,FCO,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-02-0,ENG-FCO-02,FCO,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-02-1,ENG-FCO-02,FCO,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-02-2,ENG-FCO-02,FCO,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-03-0,ENG-FCO-03,FCO,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-03-1,ENG-FCO-03,FCO,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-03-2,ENG-FCO-03,FCO,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-04-0,ENG-FCO-04,FCO,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-04-1,ENG-FCO-04,FCO,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FCO-04-2,ENG-FCO-04,FCO,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-01-0,ENG-DOH-01,DOH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-01-1,ENG-DOH-01,DOH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-01-2,ENG-DOH-01,DOH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-02-0,ENG-DOH-02,DOH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-02-1,ENG-DOH-02,DOH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-02-2,ENG-DOH-02,DOH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-03-0,ENG-DOH-03,DOH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-03-1,ENG-DOH-03,DOH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-03-2,ENG-DOH-03,DOH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-04-0,ENG-DOH-04,DOH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-04-1,ENG-DOH-04,DOH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DOH-04-2,ENG-DOH-04,DOH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-01-0,ENG-AUH-01,AUH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-01-1,ENG-AUH-01,AUH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-01-2,ENG-AUH-01,AUH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-02-0,ENG-AUH-02,AUH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-02-1,ENG-AUH-02,AUH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-02-2,ENG-AUH-02,AUH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-03-0,ENG-AUH-03,AUH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-03-1,ENG-AUH-03,AUH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-03-2,ENG-AUH-03,AUH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-04-0,ENG-AUH-04,AUH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-04-1,ENG-AUH-04,AUH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-AUH-04-2,ENG-AUH-04,AUH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-01-0,ENG-ZRH-01,ZRH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-01-1,ENG-ZRH-01,ZRH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-01-2,ENG-ZRH-01,ZRH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-02-0,ENG-ZRH-02,ZRH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-02-1,ENG-ZRH-02,ZRH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-02-2,ENG-ZRH-02,ZRH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-03-0,ENG-ZRH-03,ZRH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-03-1,ENG-ZRH-03,ZRH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-03-2,ENG-ZRH-03,ZRH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-04-0,ENG-ZRH-04,ZRH,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-04-1,ENG-ZRH-04,ZRH,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-ZRH-04-2,ENG-ZRH-04,ZRH,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-01-0,ENG-BRU-01,BRU,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-01-1,ENG-BRU-01,BRU,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-01-2,ENG-BRU-01,BRU,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-02-0,ENG-BRU-02,BRU,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-02-1,ENG-BRU-02,BRU,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-02-2,ENG-BRU-02,BRU,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-03-0,ENG-BRU-03,BRU,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-03-1,ENG-BRU-03,BRU,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-03-2,ENG-BRU-03,BRU,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-04-0,ENG-BRU-04,BRU,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-BRU-04-1,ENG-BRU-04,BRU,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
