lot_id,operator_id,part_id,station,qty_on_hand,qty_reserved,condition,release_doc_status,release_doc_id,expiry_utc,owner_type,borrow_approved,bin_location,last_verified_at,row_version,data_class
LOT-0005,SIM-AIR,DEMO-PART-007,VIE,6,5,SERVICEABLE,VERIFIED,SIM-REL-0005,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-005,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0006,SIM-AIR,DEMO-PART-008,LHR,3,1,SERVICEABLE,VERIFIED,SIM-REL-0006,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-006,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0007,SIM-AIR,DEMO-PART-009,FCO,3,1,QUARANTINE,VERIFIED,SIM-REL-0007,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-007,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0008,SIM-AIR,DEMO-PART-010,DOH,5,5,SERVICEABLE,VERIFIED,SIM-REL-0008,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-008,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0009,SIM-AIR,DEMO-PART-011,AUH,1,0,UNSERVICEABLE,VERIFIED,SIM-REL-0009,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-009,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0010,SIM-AIR,DEMO-PART-012,ZRH,0,0,SERVICEABLE,VERIFIED,SIM-REL-0010,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-010,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0011,SIM-AIR,DEMO-PART-013,BRU,4,4,SERVICEABLE,VERIFIED,SIM-REL-0011,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-011,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0012,SIM-AIR,DEMO-PART-014,DXB,0,0,SERVICEABLE,VERIFIED,SIM-REL-0012,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-012,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0013,SIM-AIR,DEMO-PART-015,FRA,0,0,SERVICEABLE,VERIFIED,SIM-REL-0013,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-013,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0014,SIM-AIR,DEMO-PART-016,AMS,0,0,SERVICEABLE,VERIFIED,SIM-REL-0014,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-014,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0015,SIM-AIR,DEMO-PART-002,CDG,0,0,SERVICEABLE,VERIFIED,SIM-REL-0015,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-015,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0016,SIM-AIR,DEMO-PART-003,MUC,1,0,SERVICEABLE,VERIFIED,SIM-REL-0016,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-016,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0017,SIM-AIR,DEMO-PART-004,VIE,1,0,SERVICEABLE,VERIFIED,SIM-REL-0017,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-017,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0018,SIM-AIR,DEMO-PART-005,LHR,2,2,SERVICEABLE,VERIFIED,SIM-REL-0018,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-018,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0019,SIM-AIR,DEMO-PART-006,FCO,4,0,SERVICEABLE,VERIFIED,SIM-REL-0019,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-019,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0020,OTHER-AIR,DEMO-PART-007,DOH,3,0,SERVICEABLE,PENDING,SIM-REL-0020,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-020,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0021,SIM-AIR,DEMO-PART-008,AUH,0,0,SERVICEABLE,VERIFIED,SIM-REL-0021,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-021,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0022,SIM-AIR,DEMO-PART-009,ZRH,6,0,QUARANTINE,VERIFIED,SIM-REL-0022,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-022,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0023,SIM-AIR,DEMO-PART-010,BRU,6,1,SERVICEABLE,MISSING,SIM-REL-0023,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-023,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0024,SIM-AIR,DEMO-PART-011,DXB,3,0,SERVICEABLE,VERIFIED,SIM-REL-0024,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-024,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0025,SIM-AIR,DEMO-PART-012,FRA,0,0,SERVICEABLE,PENDING,SIM-REL-0025,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-025,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0026,SIM-AIR,DEMO-PART-013,AMS,5,3,SERVICEABLE,MISSING,SIM-REL-0026,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-026,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0027,SIM-AIR,DEMO-PART-014,CDG,4,2,QUARANTINE,PENDING,SIM-REL-0027,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-027,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0028,SIM-AIR,DEMO-PART-015,MUC,4,3,SERVICEABLE,VERIFIED,SIM-REL-0028,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-028,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0029,SIM-AIR,DEMO-PART-016,VIE,0,0,SERVICEABLE,VERIFIED,SIM-REL-0029,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-029,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0030,SIM-AIR,DEMO-PART-002,LHR,0,0,SERVICEABLE,PENDING,SIM-REL-0030,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-030,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0031,SIM-AIR,DEMO-PART-003,FCO,4,2,SERVICEABLE,VERIFIED,SIM-REL-0031,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-031,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0032,SIM-AIR,DEMO-PART-004,DOH,4,1,SERVICEABLE,VERIFIED,SIM-REL-0032,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-032,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0033,SIM-AIR,DEMO-PART-005,AUH,5,3,SERVICEABLE,VERIFIED,SIM-REL-0033,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-033,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0034,SIM-AIR,DEMO-PART-006,ZRH,5,4,SERVICEABLE,VERIFIED,SIM-REL-0034,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-034,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0035,SIM-AIR,DEMO-PART-007,BRU,4,0,SERVICEABLE,MISSING,SIM-REL-0035,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-035,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0036,SIM-AIR,DEMO-PART-008,DXB,5,1,SERVICEABLE,MISSING,SIM-REL-0036,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-036,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0037,SIM-AIR,DEMO-PART-009,FRA,4,4,SERVICEABLE,VERIFIED,SIM-REL-0037,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-037,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0038,SIM-AIR,DEMO-PART-010,AMS,6,5,SERVICEABLE,VERIFIED,SIM-REL-0038,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-038,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0039,SIM-AIR,DEMO-PART-011,CDG,6,4,SERVICEABLE,VERIFIED,SIM-REL-0039,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-039,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0040,OTHER-AIR,DEMO-PART-012,MUC,3,1,SERVICEABLE,VERIFIED,SIM-REL-0040,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-040,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0041,SIM-AIR,DEMO-PART-013,VIE,4,3,SERVICEABLE,MISSING,SIM-REL-0041,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-041,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0042,SIM-AIR,DEMO-PART-014,LHR,1,1,SERVICEABLE,VERIFIED,SIM-REL-0042,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-042,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0043,SIM-AIR,DEMO-PART-015,FCO,0,0,SERVICEABLE,VERIFIED,SIM-REL-0043,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-043,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0044,SIM-AIR,DEMO-PART-016,DOH,6,2,SERVICEABLE,VERIFIED,SIM-REL-0044,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-044,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0045,SIM-AIR,DEMO-PART-002,AUH,5,4,QUARANTINE,VERIFIED,SIM-REL-0045,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-045,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0046,SIM-AIR,DEMO-PART-003,ZRH,2,0,SERVICEABLE,VERIFIED,SIM-REL-0046,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-046,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0047,SIM-AIR,DEMO-PART-004,BRU,5,1,QUARANTINE,VERIFIED,SIM-REL-0047,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-047,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0048,SIM-AIR,DEMO-PART-005,DXB,6,3,UNSERVICEABLE,VERIFIED,SIM-REL-0048,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-048,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0049,SIM-AIR,DEMO-PART-006,FRA,1,0,QUARANTINE,MISSING,SIM-REL-0049,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-049,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0050,SIM-AIR,DEMO-PART-007,AMS,1,1,SERVICEABLE,VERIFIED,SIM-REL-0050,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-050,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0051,SIM-AIR,DEMO-PART-008,CDG,4,0,SERVICEABLE,VERIFIED,SIM-REL-0051,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-051,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0052,SIM-AIR,DEMO-PART-009,MUC,0,0,SERVICEABLE,VERIFIED,SIM-REL-0052,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-052,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0053,SIM-AIR,DEMO-PART-010,VIE,1,0,SERVICEABLE,VERIFIED,SIM-REL-0053,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-053,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0054,SIM-AIR,DEMO-PART-011,LHR,3,3,SERVICEABLE,PENDING,SIM-REL-0054,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-054,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0055,SIM-AIR,DEMO-PART-012,FCO,1,1,SERVICEABLE,VERIFIED,SIM-REL-0055,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-055,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0056,SIM-AIR,DEMO-PART-013,DOH,5,4,QUARANTINE,PENDING,SIM-REL-0056,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-056,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0057,SIM-AIR,DEMO-PART-014,AUH,6,6,SERVICEABLE,VERIFIED,SIM-REL-0057,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-057,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0058,SIM-AIR,DEMO-PART-015,ZRH,4,3,UNSERVICEABLE,VERIFIED,SIM-REL-0058,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-058,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0059,SIM-AIR,DEMO-PART-016,BRU,2,1,SERVICEABLE,VERIFIED,SIM-REL-0059,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-059,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0060,OTHER-AIR,DEMO-PART-002,DXB,0,0,UNSERVICEABLE,VERIFIED,SIM-REL-0060,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-060,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0061,SIM-AIR,DEMO-PART-003,FRA,2,0,SERVICEABLE,VERIFIED,SIM-REL-0061,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-061,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0062,SIM-AIR,DEMO-PART-004,AMS,0,0,SERVICEABLE,PENDING,SIM-REL-0062,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-062,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0063,SIM-AIR,DEMO-PART-005,CDG,0,0,SERVICEABLE,PENDING,SIM-REL-0063,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-063,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0064,SIM-AIR,DEMO-PART-006,MUC,6,3,UNSERVICEABLE,VERIFIED,SIM-REL-0064,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-064,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0065,SIM-AIR,DEMO-PART-007,VIE,0,0,SERVICEABLE,VERIFIED,SIM-REL-0065,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-065,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0066,SIM-AIR,DEMO-PART-008,LHR,3,1,QUARANTINE,PENDING,SIM-REL-0066,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-066,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0067,SIM-AIR,DEMO-PART-009,FCO,4,0,SERVICEABLE,VERIFIED,SIM-REL-0067,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-067,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0068,SIM-AIR,DEMO-PART-010,DOH,3,2,SERVICEABLE,VERIFIED,SIM-REL-0068,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-068,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0069,SIM-AIR,DEMO-PART-011,AUH,6,4,QUARANTINE,VERIFIED,SIM-REL-0069,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-069,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0070,SIM-AIR,DEMO-PART-012,ZRH,0,0,SERVICEABLE,VERIFIED,SIM-REL-0070,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-070,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0071,SIM-AIR,DEMO-PART-013,BRU,2,1,SERVICEABLE,VERIFIED,SIM-REL-0071,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-071,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0072,SIM-AIR,DEMO-PART-014,DXB,2,1,SERVICEABLE,VERIFIED,SIM-REL-0072,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-072,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0073,SIM-AIR,DEMO-PART-015,FRA,2,0,SERVICEABLE,VERIFIED,SIM-REL-0073,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-073,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0074,SIM-AIR,DEMO-PART-016,AMS,1,1,SERVICEABLE,VERIFIED,SIM-REL-0074,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-074,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0075,SIM-AIR,DEMO-PART-002,CDG,4,2,QUARANTINE,VERIFIED,SIM-REL-0075,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-075,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0076,SIM-AIR,DEMO-PART-003,MUC,0,0,SERVICEABLE,VERIFIED,SIM-REL-0076,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-076,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0077,SIM-AIR,DEMO-PART-004,VIE,0,0,QUARANTINE,VERIFIED,SIM-REL-0077,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-077,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0078,SIM-AIR,DEMO-PART-005,LHR,0,0,QUARANTINE,VERIFIED,SIM-REL-0078,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-078,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0079,SIM-AIR,DEMO-PART-006,FCO,4,0,SERVICEABLE,VERIFIED,SIM-REL-0079,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-079,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0080,OTHER-AIR,DEMO-PART-007,DOH,6,4,SERVICEABLE,VERIFIED,SIM-REL-0080,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-080,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0081,SIM-AIR,DEMO-PART-008,AUH,2,1,SERVICEABLE,VERIFIED,SIM-REL-0081,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-081,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0082,SIM-AIR,DEMO-PART-009,ZRH,2,2,SERVICEABLE,VERIFIED,SIM-REL-0082,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-082,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0083,SIM-AIR,DEMO-PART-010,BRU,6,6,UNSERVICEABLE,VERIFIED,SIM-REL-0083,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-083,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0084,SIM-AIR,DEMO-PART-011,DXB,2,0,SERVICEABLE,VERIFIED,SIM-REL-0084,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-084,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0085,SIM-AIR,DEMO-PART-012,FRA,5,3,UNSERVICEABLE,PENDING,SIM-REL-0085,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-085,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0086,SIM-AIR,DEMO-PART-013,AMS,0,0,SERVICEABLE,VERIFIED,SIM-REL-0086,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-086,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0087,SIM-AIR,DEMO-PART-014,CDG,5,0,SERVICEABLE,MISSING,SIM-REL-0087,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-087,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0088,SIM-AIR,DEMO-PART-015,MUC,5,4,QUARANTINE,VERIFIED,SIM-REL-0088,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-088,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0089,SIM-AIR,DEMO-PART-016,VIE,5,0,SERVICEABLE,VERIFIED,SIM-REL-0089,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-089,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0090,SIM-AIR,DEMO-PART-002,LHR,3,2,QUARANTINE,VERIFIED,SIM-REL-0090,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-090,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0091,SIM-AIR,DEMO-PART-003,FCO,0,0,SERVICEABLE,VERIFIED,SIM-REL-0091,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-091,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0092,SIM-AIR,DEMO-PART-004,DOH,6,5,UNSERVICEABLE,MISSING,SIM-REL-0092,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-092,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0093,SIM-AIR,DEMO-PART-005,AUH,5,5,SERVICEABLE,VERIFIED,SIM-REL-0093,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-093,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0094,SIM-AIR,DEMO-PART-006,ZRH,5,4,QUARANTINE,PENDING,SIM-REL-0094,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-094,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0095,SIM-AIR,DEMO-PART-007,BRU,2,0,SERVICEABLE,VERIFIED,SIM-REL-0095,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-095,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0096,SIM-AIR,DEMO-PART-008,DXB,2,1,SERVICEABLE,VERIFIED,SIM-REL-0096,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-096,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0097,SIM-AIR,DEMO-PART-009,FRA,6,5,SERVICEABLE,VERIFIED,SIM-REL-0097,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-097,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0098,SIM-AIR,DEMO-PART-010,AMS,0,0,SERVICEABLE,VERIFIED,SIM-REL-0098,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-098,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0099,SIM-AIR,DEMO-PART-011,CDG,4,1,SERVICEABLE,VERIFIED,SIM-REL-0099,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-099,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0100,OTHER-AIR,DEMO-PART-012,MUC,0,0,SERVICEABLE,VERIFIED,SIM-REL-0100,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-100,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0101,SIM-AIR,DEMO-PART-013,VIE,4,4,QUARANTINE,VERIFIED,SIM-REL-0101,2027-06-30T23:59:59Z,OWNED,1,VIE-SIM-101,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0102,SIM-AIR,DEMO-PART-014,LHR,0,0,SERVICEABLE,VERIFIED,SIM-REL-0102,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-102,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0103,SIM-AIR,DEMO-PART-015,FCO,1,0,SERVICEABLE,MISSING,SIM-REL-0103,2027-06-30T23:59:59Z,OWNED,1,FCO-SIM-103,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0104,SIM-AIR,DEMO-PART-016,DOH,3,0,QUARANTINE,VERIFIED,SIM-REL-0104,2027-06-30T23:59:59Z,OWNED,1,DOH-SIM-104,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0105,SIM-AIR,DEMO-PART-002,AUH,1,0,SERVICEABLE,VERIFIED,SIM-REL-0105,2027-06-30T23:59:59Z,OWNED,1,AUH-SIM-105,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0106,SIM-AIR,DEMO-PART-003,ZRH,3,2,SERVICEABLE,MISSING,SIM-REL-0106,2027-06-30T23:59:59Z,OWNED,1,ZRH-SIM-106,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0107,SIM-AIR,DEMO-PART-004,BRU,3,3,QUARANTINE,VERIFIED,SIM-REL-0107,2027-06-30T23:59:59Z,OWNED,1,BRU-SIM-107,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0108,SIM-AIR,DEMO-PART-005,DXB,2,1,SERVICEABLE,VERIFIED,SIM-REL-0108,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-108,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0109,SIM-AIR,DEMO-PART-006,FRA,6,4,QUARANTINE,VERIFIED,SIM-REL-0109,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-109,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0110,SIM-AIR,DEMO-PART-007,AMS,1,1,UNSERVICEABLE,VERIFIED,SIM-REL-0110,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-110,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0111,SIM-AIR,DEMO-PART-008,CDG,1,1,SERVICEABLE,VERIFIED,SIM-REL-0111,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-111,2026-09-14T06:00:00Z,1,SYNTHETIC
