tool_asset_id,station,tool_code,description,condition,calibration_expiry_utc,available_from_utc,last_verified_at,data_class
TOOL-CDG-02,CDG,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-CDG-03,CDG,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-MUC-01,MUC,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-MUC-02,MUC,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-MUC-03,MUC,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-VIE-01,VIE,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-VIE-02,VIE,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-VIE-03,VIE,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-LHR-01,LHR,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-LHR-02,LHR,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-LHR-03,LHR,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FCO-01,FCO,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FCO-02,FCO,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FCO-03,FCO,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-DOH-01,DOH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-DOH-02,DOH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-DOH-03,DOH,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AUH-01,AUH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AUH-02,AUH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AUH-03,AUH,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-ZRH-01,ZRH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-ZRH-02,ZRH,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-ZRH-03,ZRH,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-BRU-01,BRU,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-BRU-02,BRU,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-BRU-03,BRU,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
