flight_id,operator_id,aircraft_id,display_number,origin,destination,scheduled_out_utc,scheduled_in_utc,estimated_landing_utc,estimated_inblock_utc,other_turnaround_ready_utc,dispatch_buffer_minutes,passengers,crew_ready,slot_confirmed,status,source_basis,data_class
F-02-5-A,SIM-AIR,AC-002,SIM025A,DXB,FRA,2026-09-19T02:00:00Z,2026-09-19T08:00:00Z,2026-09-19T07:50:00Z,2026-09-19T08:00:00Z,2026-09-19T01:40:00Z,20,227,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-5-B,SIM-AIR,AC-002,SIM025B,FRA,DXB,2026-09-19T10:15:00Z,2026-09-19T16:15:00Z,2026-09-19T16:05:00Z,2026-09-19T16:15:00Z,2026-09-19T09:55:00Z,20,297,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-6-A,SIM-AIR,AC-002,SIM026A,DXB,FRA,2026-09-20T02:00:00Z,2026-09-20T08:00:00Z,2026-09-20T07:50:00Z,2026-09-20T08:00:00Z,2026-09-20T01:40:00Z,20,254,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-6-B,SIM-AIR,AC-002,SIM026B,FRA,DXB,2026-09-20T10:15:00Z,2026-09-20T16:15:00Z,2026-09-20T16:05:00Z,2026-09-20T16:15:00Z,2026-09-20T09:55:00Z,20,232,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-0-A,SIM-AIR,AC-003,SIM030A,DXB,AMS,2026-09-14T03:00:00Z,2026-09-14T09:00:00Z,2026-09-14T08:50:00Z,2026-09-14T09:00:00Z,2026-09-14T02:40:00Z,20,279,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-0-B,SIM-AIR,AC-003,SIM030B,AMS,DXB,2026-09-14T11:15:00Z,2026-09-14T17:15:00Z,2026-09-14T17:05:00Z,2026-09-14T17:15:00Z,2026-09-14T10:55:00Z,20,244,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-1-A,SIM-AIR,AC-003,SIM031A,DXB,AMS,2026-09-15T03:00:00Z,2026-09-15T09:00:00Z,2026-09-15T08:50:00Z,2026-09-15T09:00:00Z,2026-09-15T02:40:00Z,20,219,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-1-B,SIM-AIR,AC-003,SIM031B,AMS,DXB,2026-09-15T11:15:00Z,2026-09-15T17:15:00Z,2026-09-15T17:05:00Z,2026-09-15T17:15:00Z,2026-09-15T10:55:00Z,20,262,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-2-A,SIM-AIR,AC-003,SIM032A,DXB,AMS,2026-09-16T03:00:00Z,2026-09-16T09:00:00Z,2026-09-16T08:50:00Z,2026-09-16T09:00:00Z,2026-09-16T02:40:00Z,20,224,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-2-B,SIM-AIR,AC-003,SIM032B,AMS,DXB,2026-09-16T11:15:00Z,2026-09-16T17:15:00Z,2026-09-16T17:05:00Z,2026-09-16T17:15:00Z,2026-09-16T10:55:00Z,20,246,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-3-A,SIM-AIR,AC-003,SIM033A,DXB,AMS,2026-09-17T03:00:00Z,2026-09-17T09:00:00Z,2026-09-17T08:50:00Z,2026-09-17T09:00:00Z,2026-09-17T02:40:00Z,20,219,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-3-B,SIM-AIR,AC-003,SIM033B,AMS,DXB,2026-09-17T11:15:00Z,2026-09-17T17:15:00Z,2026-09-17T17:05:00Z,2026-09-17T17:15:00Z,2026-09-17T10:55:00Z,20,230,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-4-A,SIM-AIR,AC-003,SIM034A,DXB,AMS,2026-09-18T03:00:00Z,2026-09-18T09:00:00Z,2026-09-18T08:50:00Z,2026-09-18T09:00:00Z,2026-09-18T02:40:00Z,20,274,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-4-B,SIM-AIR,AC-003,SIM034B,AMS,DXB,2026-09-18T11:15:00Z,2026-09-18T17:15:00Z,2026-09-18T17:05:00Z,2026-09-18T17:15:00Z,2026-09-18T10:55:00Z,20,281,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-5-A,SIM-AIR,AC-003,SIM035A,DXB,AMS,2026-09-19T03:00:00Z,2026-09-19T09:00:00Z,2026-09-19T08:50:00Z,2026-09-19T09:00:00Z,2026-09-19T02:40:00Z,20,223,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-5-B,SIM-AIR,AC-003,SIM035B,AMS,DXB,2026-09-19T11:15:00Z,2026-09-19T17:15:00Z,2026-09-19T17:05:00Z,2026-09-19T17:15:00Z,2026-09-19T10:55:00Z,20,270,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-6-A,SIM-AIR,AC-003,SIM036A,DXB,AMS,2026-09-20T03:00:00Z,2026-09-20T09:00:00Z,2026-09-20T08:50:00Z,2026-09-20T09:00:00Z,2026-09-20T02:40:00Z,20,242,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-03-6-B,SIM-AIR,AC-003,SIM036B,AMS,DXB,2026-09-20T11:15:00Z,2026-09-20T17:15:00Z,2026-09-20T17:05:00Z,2026-09-20T17:15:00Z,2026-09-20T10:55:00Z,20,257,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-0-A,SIM-AIR,AC-004,SIM040A,DXB,CDG,2026-09-14T04:00:00Z,2026-09-14T10:00:00Z,2026-09-14T09:50:00Z,2026-09-14T10:00:00Z,2026-09-14T03:40:00Z,20,220,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-0-B,SIM-AIR,AC-004,SIM040B,CDG,DXB,2026-09-14T12:15:00Z,2026-09-14T18:15:00Z,2026-09-14T18:05:00Z,2026-09-14T18:15:00Z,2026-09-14T11:55:00Z,20,263,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-1-A,SIM-AIR,AC-004,SIM041A,DXB,CDG,2026-09-15T04:00:00Z,2026-09-15T10:00:00Z,2026-09-15T09:50:00Z,2026-09-15T10:00:00Z,2026-09-15T03:40:00Z,20,222,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-1-B,SIM-AIR,AC-004,SIM041B,CDG,DXB,2026-09-15T12:15:00Z,2026-09-15T18:15:00Z,2026-09-15T18:05:00Z,2026-09-15T18:15:00Z,2026-09-15T11:55:00Z,20,218,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-2-A,SIM-AIR,AC-004,SIM042A,DXB,CDG,2026-09-16T04:00:00Z,2026-09-16T10:00:00Z,2026-09-16T09:50:00Z,2026-09-16T10:00:00Z,2026-09-16T03:40:00Z,20,278,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-2-B,SIM-AIR,AC-004,SIM042B,CDG,DXB,2026-09-16T12:15:00Z,2026-09-16T18:15:00Z,2026-09-16T18:05:00Z,2026-09-16T18:15:00Z,2026-09-16T11:55:00Z,20,255,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-3-A,SIM-AIR,AC-004,SIM043A,DXB,CDG,2026-09-17T04:00:00Z,2026-09-17T10:00:00Z,2026-09-17T09:50:00Z,2026-09-17T10:00:00Z,2026-09-17T03:40:00Z,20,266,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-3-B,SIM-AIR,AC-004,SIM043B,CDG,DXB,2026-09-17T12:15:00Z,2026-09-17T18:15:00Z,2026-09-17T18:05:00Z,2026-09-17T18:15:00Z,2026-09-17T11:55:00Z,20,218,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-4-A,SIM-AIR,AC-004,SIM044A,DXB,CDG,2026-09-18T04:00:00Z,2026-09-18T10:00:00Z,2026-09-18T09:50:00Z,2026-09-18T10:00:00Z,2026-09-18T03:40:00Z,20,281,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-4-B,SIM-AIR,AC-004,SIM044B,CDG,DXB,2026-09-18T12:15:00Z,2026-09-18T18:15:00Z,2026-09-18T18:05:00Z,2026-09-18T18:15:00Z,2026-09-18T11:55:00Z,20,217,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-5-A,SIM-AIR,AC-004,SIM045A,DXB,CDG,2026-09-19T04:00:00Z,2026-09-19T10:00:00Z,2026-09-19T09:50:00Z,2026-09-19T10:00:00Z,2026-09-19T03:40:00Z,20,269,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-5-B,SIM-AIR,AC-004,SIM045B,CDG,DXB,2026-09-19T12:15:00Z,2026-09-19T18:15:00Z,2026-09-19T18:05:00Z,2026-09-19T18:15:00Z,2026-09-19T11:55:00Z,20,288,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-6-A,SIM-AIR,AC-004,SIM046A,DXB,CDG,2026-09-20T04:00:00Z,2026-09-20T10:00:00Z,2026-09-20T09:50:00Z,2026-09-20T10:00:00Z,2026-09-20T03:40:00Z,20,237,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-04-6-B,SIM-AIR,AC-004,SIM046B,CDG,DXB,2026-09-20T12:15:00Z,2026-09-20T18:15:00Z,2026-09-20T18:05:00Z,2026-09-20T18:15:00Z,2026-09-20T11:55:00Z,20,234,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-0-A,SIM-AIR,AC-005,SIM050A,DXB,MUC,2026-09-14T00:00:00Z,2026-09-14T06:00:00Z,2026-09-14T05:50:00Z,2026-09-14T06:00:00Z,2026-09-13T23:40:00Z,20,233,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-0-B,SIM-AIR,AC-005,SIM050B,MUC,DXB,2026-09-14T08:15:00Z,2026-09-14T14:15:00Z,2026-09-14T14:05:00Z,2026-09-14T14:15:00Z,2026-09-14T07:55:00Z,20,239,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-1-A,SIM-AIR,AC-005,SIM051A,DXB,MUC,2026-09-15T00:00:00Z,2026-09-15T06:00:00Z,2026-09-15T05:50:00Z,2026-09-15T06:00:00Z,2026-09-14T23:40:00Z,20,232,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-1-B,SIM-AIR,AC-005,SIM051B,MUC,DXB,2026-09-15T08:15:00Z,2026-09-15T14:15:00Z,2026-09-15T14:05:00Z,2026-09-15T14:15:00Z,2026-09-15T07:55:00Z,20,255,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-2-A,SIM-AIR,AC-005,SIM052A,DXB,MUC,2026-09-16T00:00:00Z,2026-09-16T06:00:00Z,2026-09-16T05:50:00Z,2026-09-16T06:00:00Z,2026-09-15T23:40:00Z,20,282,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-2-B,SIM-AIR,AC-005,SIM052B,MUC,DXB,2026-09-16T08:15:00Z,2026-09-16T14:15:00Z,2026-09-16T14:05:00Z,2026-09-16T14:15:00Z,2026-09-16T07:55:00Z,20,215,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-3-A,SIM-AIR,AC-005,SIM053A,DXB,MUC,2026-09-17T00:00:00Z,2026-09-17T06:00:00Z,2026-09-17T05:50:00Z,2026-09-17T06:00:00Z,2026-09-16T23:40:00Z,20,293,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-3-B,SIM-AIR,AC-005,SIM053B,MUC,DXB,2026-09-17T08:15:00Z,2026-09-17T14:15:00Z,2026-09-17T14:05:00Z,2026-09-17T14:15:00Z,2026-09-17T07:55:00Z,20,225,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-4-A,SIM-AIR,AC-005,SIM054A,DXB,MUC,2026-09-18T00:00:00Z,2026-09-18T06:00:00Z,2026-09-18T05:50:00Z,2026-09-18T06:00:00Z,2026-09-17T23:40:00Z,20,218,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-4-B,SIM-AIR,AC-005,SIM054B,MUC,DXB,2026-09-18T08:15:00Z,2026-09-18T14:15:00Z,2026-09-18T14:05:00Z,2026-09-18T14:15:00Z,2026-09-18T07:55:00Z,20,280,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-5-A,SIM-AIR,AC-005,SIM055A,DXB,MUC,2026-09-19T00:00:00Z,2026-09-19T06:00:00Z,2026-09-19T05:50:00Z,2026-09-19T06:00:00Z,2026-09-18T23:40:00Z,20,222,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-5-B,SIM-AIR,AC-005,SIM055B,MUC,DXB,2026-09-19T08:15:00Z,2026-09-19T14:15:00Z,2026-09-19T14:05:00Z,2026-09-19T14:15:00Z,2026-09-19T07:55:00Z,20,293,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-6-A,SIM-AIR,AC-005,SIM056A,DXB,MUC,2026-09-20T00:00:00Z,2026-09-20T06:00:00Z,2026-09-20T05:50:00Z,2026-09-20T06:00:00Z,2026-09-19T23:40:00Z,20,286,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-05-6-B,SIM-AIR,AC-005,SIM056B,MUC,DXB,2026-09-20T08:15:00Z,2026-09-20T14:15:00Z,2026-09-20T14:05:00Z,2026-09-20T14:15:00Z,2026-09-20T07:55:00Z,20,250,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-0-A,SIM-AIR,AC-006,SIM060A,DXB,VIE,2026-09-14T01:00:00Z,2026-09-14T07:00:00Z,2026-09-14T06:50:00Z,2026-09-14T07:00:00Z,2026-09-14T00:40:00Z,20,277,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-0-B,SIM-AIR,AC-006,SIM060B,VIE,DXB,2026-09-14T09:15:00Z,2026-09-14T15:15:00Z,2026-09-14T15:05:00Z,2026-09-14T15:15:00Z,2026-09-14T08:55:00Z,20,255,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-1-A,SIM-AIR,AC-006,SIM061A,DXB,VIE,2026-09-15T01:00:00Z,2026-09-15T07:00:00Z,2026-09-15T06:50:00Z,2026-09-15T07:00:00Z,2026-09-15T00:40:00Z,20,221,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-1-B,SIM-AIR,AC-006,SIM061B,VIE,DXB,2026-09-15T09:15:00Z,2026-09-15T15:15:00Z,2026-09-15T15:05:00Z,2026-09-15T15:15:00Z,2026-09-15T08:55:00Z,20,270,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-2-A,SIM-AIR,AC-006,SIM062A,DXB,VIE,2026-09-16T01:00:00Z,2026-09-16T07:00:00Z,2026-09-16T06:50:00Z,2026-09-16T07:00:00Z,2026-09-16T00:40:00Z,20,274,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-2-B,SIM-AIR,AC-006,SIM062B,VIE,DXB,2026-09-16T09:15:00Z,2026-09-16T15:15:00Z,2026-09-16T15:05:00Z,2026-09-16T15:15:00Z,2026-09-16T08:55:00Z,20,246,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-3-A,SIM-AIR,AC-006,SIM063A,DXB,VIE,2026-09-17T01:00:00Z,2026-09-17T07:00:00Z,2026-09-17T06:50:00Z,2026-09-17T07:00:00Z,2026-09-17T00:40:00Z,20,233,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-3-B,SIM-AIR,AC-006,SIM063B,VIE,DXB,2026-09-17T09:15:00Z,2026-09-17T15:15:00Z,2026-09-17T15:05:00Z,2026-09-17T15:15:00Z,2026-09-17T08:55:00Z,20,262,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-4-A,SIM-AIR,AC-006,SIM064A,DXB,VIE,2026-09-18T01:00:00Z,2026-09-18T07:00:00Z,2026-09-18T06:50:00Z,2026-09-18T07:00:00Z,2026-09-18T00:40:00Z,20,266,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-4-B,SIM-AIR,AC-006,SIM064B,VIE,DXB,2026-09-18T09:15:00Z,2026-09-18T15:15:00Z,2026-09-18T15:05:00Z,2026-09-18T15:15:00Z,2026-09-18T08:55:00Z,20,251,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-5-A,SIM-AIR,AC-006,SIM065A,DXB,VIE,2026-09-19T01:00:00Z,2026-09-19T07:00:00Z,2026-09-19T06:50:00Z,2026-09-19T07:00:00Z,2026-09-19T00:40:00Z,20,218,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-5-B,SIM-AIR,AC-006,SIM065B,VIE,DXB,2026-09-19T09:15:00Z,2026-09-19T15:15:00Z,2026-09-19T15:05:00Z,2026-09-19T15:15:00Z,2026-09-19T08:55:00Z,20,217,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-6-A,SIM-AIR,AC-006,SIM066A,DXB,VIE,2026-09-20T01:00:00Z,2026-09-20T07:00:00Z,2026-09-20T06:50:00Z,2026-09-20T07:00:00Z,2026-09-20T00:40:00Z,20,225,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-06-6-B,SIM-AIR,AC-006,SIM066B,VIE,DXB,2026-09-20T09:15:00Z,2026-09-20T15:15:00Z,2026-09-20T15:05:00Z,2026-09-20T15:15:00Z,2026-09-20T08:55:00Z,20,245,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-0-A,SIM-AIR,AC-007,SIM070A,DXB,LHR,2026-09-14T02:00:00Z,2026-09-14T08:00:00Z,2026-09-14T07:50:00Z,2026-09-14T08:00:00Z,2026-09-14T01:40:00Z,20,226,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-0-B,SIM-AIR,AC-007,SIM070B,LHR,DXB,2026-09-14T10:15:00Z,2026-09-14T16:15:00Z,2026-09-14T16:05:00Z,2026-09-14T16:15:00Z,2026-09-14T09:55:00Z,20,242,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-1-A,SIM-AIR,AC-007,SIM071A,DXB,LHR,2026-09-15T02:00:00Z,2026-09-15T08:00:00Z,2026-09-15T07:50:00Z,2026-09-15T08:00:00Z,2026-09-15T01:40:00Z,20,248,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-1-B,SIM-AIR,AC-007,SIM071B,LHR,DXB,2026-09-15T10:15:00Z,2026-09-15T16:15:00Z,2026-09-15T16:05:00Z,2026-09-15T16:15:00Z,2026-09-15T09:55:00Z,20,264,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-2-A,SIM-AIR,AC-007,SIM072A,DXB,LHR,2026-09-16T02:00:00Z,2026-09-16T08:00:00Z,2026-09-16T07:50:00Z,2026-09-16T08:00:00Z,2026-09-16T01:40:00Z,20,228,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-2-B,SIM-AIR,AC-007,SIM072B,LHR,DXB,2026-09-16T10:15:00Z,2026-09-16T16:15:00Z,2026-09-16T16:05:00Z,2026-09-16T16:15:00Z,2026-09-16T09:55:00Z,20,258,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-3-A,SIM-AIR,AC-007,SIM073A,DXB,LHR,2026-09-17T02:00:00Z,2026-09-17T08:00:00Z,2026-09-17T07:50:00Z,2026-09-17T08:00:00Z,2026-09-17T01:40:00Z,20,252,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-3-B,SIM-AIR,AC-007,SIM073B,LHR,DXB,2026-09-17T10:15:00Z,2026-09-17T16:15:00Z,2026-09-17T16:05:00Z,2026-09-17T16:15:00Z,2026-09-17T09:55:00Z,20,218,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-4-A,SIM-AIR,AC-007,SIM074A,DXB,LHR,2026-09-18T02:00:00Z,2026-09-18T08:00:00Z,2026-09-18T07:50:00Z,2026-09-18T08:00:00Z,2026-09-18T01:40:00Z,20,266,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-4-B,SIM-AIR,AC-007,SIM074B,LHR,DXB,2026-09-18T10:15:00Z,2026-09-18T16:15:00Z,2026-09-18T16:05:00Z,2026-09-18T16:15:00Z,2026-09-18T09:55:00Z,20,300,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-5-A,SIM-AIR,AC-007,SIM075A,DXB,LHR,2026-09-19T02:00:00Z,2026-09-19T08:00:00Z,2026-09-19T07:50:00Z,2026-09-19T08:00:00Z,2026-09-19T01:40:00Z,20,221,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-5-B,SIM-AIR,AC-007,SIM075B,LHR,DXB,2026-09-19T10:15:00Z,2026-09-19T16:15:00Z,2026-09-19T16:05:00Z,2026-09-19T16:15:00Z,2026-09-19T09:55:00Z,20,262,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-6-A,SIM-AIR,AC-007,SIM076A,DXB,LHR,2026-09-20T02:00:00Z,2026-09-20T08:00:00Z,2026-09-20T07:50:00Z,2026-09-20T08:00:00Z,2026-09-20T01:40:00Z,20,215,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-07-6-B,SIM-AIR,AC-007,SIM076B,LHR,DXB,2026-09-20T10:15:00Z,2026-09-20T16:15:00Z,2026-09-20T16:05:00Z,2026-09-20T16:15:00Z,2026-09-20T09:55:00Z,20,216,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-0-A,SIM-AIR,AC-008,SIM080A,DXB,FCO,2026-09-14T03:00:00Z,2026-09-14T09:00:00Z,2026-09-14T08:50:00Z,2026-09-14T09:00:00Z,2026-09-14T02:40:00Z,20,239,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-0-B,SIM-AIR,AC-008,SIM080B,FCO,DXB,2026-09-14T11:15:00Z,2026-09-14T17:15:00Z,2026-09-14T17:05:00Z,2026-09-14T17:15:00Z,2026-09-14T10:55:00Z,20,226,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-1-A,SIM-AIR,AC-008,SIM081A,DXB,FCO,2026-09-15T03:00:00Z,2026-09-15T09:00:00Z,2026-09-15T08:50:00Z,2026-09-15T09:00:00Z,2026-09-15T02:40:00Z,20,248,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-1-B,SIM-AIR,AC-008,SIM081B,FCO,DXB,2026-09-15T11:15:00Z,2026-09-15T17:15:00Z,2026-09-15T17:05:00Z,2026-09-15T17:15:00Z,2026-09-15T10:55:00Z,20,252,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-2-A,SIM-AIR,AC-008,SIM082A,DXB,FCO,2026-09-16T03:00:00Z,2026-09-16T09:00:00Z,2026-09-16T08:50:00Z,2026-09-16T09:00:00Z,2026-09-16T02:40:00Z,20,274,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-2-B,SIM-AIR,AC-008,SIM082B,FCO,DXB,2026-09-16T11:15:00Z,2026-09-16T17:15:00Z,2026-09-16T17:05:00Z,2026-09-16T17:15:00Z,2026-09-16T10:55:00Z,20,287,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-3-A,SIM-AIR,AC-008,SIM083A,DXB,FCO,2026-09-17T03:00:00Z,2026-09-17T09:00:00Z,2026-09-17T08:50:00Z,2026-09-17T09:00:00Z,2026-09-17T02:40:00Z,20,276,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-3-B,SIM-AIR,AC-008,SIM083B,FCO,DXB,2026-09-17T11:15:00Z,2026-09-17T17:15:00Z,2026-09-17T17:05:00Z,2026-09-17T17:15:00Z,2026-09-17T10:55:00Z,20,236,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-4-A,SIM-AIR,AC-008,SIM084A,DXB,FCO,2026-09-18T03:00:00Z,2026-09-18T09:00:00Z,2026-09-18T08:50:00Z,2026-09-18T09:00:00Z,2026-09-18T02:40:00Z,20,223,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
