authorization_id,engineer_id,operator_id,aircraft_type,config_code,task_scope,station,valid_from,valid_to,status,data_class
AUTH-AMS-04,ENG-AMS-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,AMS,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-CDG-01,ENG-CDG-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,CDG,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-CDG-02,ENG-CDG-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,CDG,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-CDG-03,ENG-CDG-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,CDG,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-CDG-04,ENG-CDG-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,CDG,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-MUC-01,ENG-MUC-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,MUC,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-MUC-02,ENG-MUC-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,MUC,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-MUC-03,ENG-MUC-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,MUC,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-MUC-04,ENG-MUC-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,MUC,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-VIE-01,ENG-VIE-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,VIE,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-VIE-02,ENG-VIE-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,VIE,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-VIE-03,ENG-VIE-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,VIE,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-VIE-04,ENG-VIE-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,VIE,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-LHR-01,ENG-LHR-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,LHR,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-LHR-02,ENG-LHR-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,LHR,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-LHR-03,ENG-LHR-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,LHR,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-LHR-04,ENG-LHR-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,LHR,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FCO-01,ENG-FCO-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,FCO,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FCO-02,ENG-FCO-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,FCO,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-FCO-03,ENG-FCO-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,FCO,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FCO-04,ENG-FCO-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,FCO,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-DOH-01,ENG-DOH-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,DOH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-DOH-02,ENG-DOH-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,DOH,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-DOH-03,ENG-DOH-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,DOH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-DOH-04,ENG-DOH-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,DOH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-AUH-01,ENG-AUH-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,AUH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-AUH-02,ENG-AUH-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,AUH,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-AUH-03,ENG-AUH-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,AUH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-AUH-04,ENG-AUH-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,AUH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-ZRH-01,ENG-ZRH-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,ZRH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-ZRH-02,ENG-ZRH-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,ZRH,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-ZRH-03,ENG-ZRH-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,ZRH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-ZRH-04,ENG-ZRH-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,ZRH,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-BRU-01,ENG-BRU-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,BRU,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-BRU-02,ENG-BRU-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,BRU,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-BRU-03,ENG-BRU-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,BRU,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-BRU-04,ENG-BRU-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,BRU,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
