work_order_id,defect_id,task_reference,station,started_at,completed_at,status,summary,data_class
WO-0030,HIST-0030,SIM-HIST-TASK-DEMO-33-012,DOH,2026-05-03T00:05:00Z,2026-05-03T01:46:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0031,HIST-0031,SIM-HIST-TASK-DEMO-25-027,LHR,2026-06-11T06:05:00Z,2026-06-11T06:41:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0032,HIST-0032,SIM-HIST-TASK-DEMO-25-019,CDG,2026-05-12T04:05:00Z,2026-05-12T04:53:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0033,HIST-0033,SIM-HIST-TASK-DEMO-44-018,FCO,2026-08-25T02:05:00Z,2026-08-25T05:15:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0034,HIST-0034,SIM-HIST-TASK-DEMO-33-012,AUH,2026-05-06T03:05:00Z,2026-05-06T04:41:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0035,HIST-0035,SIM-HIST-TASK-DEMO-44-031,VIE,2026-06-14T23:05:00Z,2026-06-15T02:33:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0036,HIST-0036,SIM-HIST-TASK-DEMO-44-018,FCO,2026-04-29T04:05:00Z,2026-04-29T05:49:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0037,HIST-0037,SIM-HIST-TASK-DEMO-44-018,MUC,2026-03-30T06:05:00Z,2026-03-30T07:45:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0038,HIST-0038,SIM-HIST-TASK-DEMO-33-012,AUH,2026-09-06T06:05:00Z,2026-09-06T07:37:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0039,HIST-0039,SIM-HIST-TASK-DEMO-25-027,ZRH,2026-08-19T03:05:00Z,2026-08-19T06:12:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0040,HIST-0040,SIM-HIST-TASK-DEMO-44-031,FRA,2026-07-17T02:05:00Z,2026-07-17T05:04:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0041,HIST-0041,SIM-HIST-TASK-DEMO-25-019,BRU,2026-06-19T22:05:00Z,2026-06-20T01:21:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0042,HIST-0042,SIM-HIST-TASK-DEMO-A350-21-047,FRA,2026-08-03T06:05:00Z,2026-08-03T06:53:00Z,CLOSED,Record reports an indication connection issue corrected; no component consumed. Historical finding only. New inspection required; root cause not inferred.,SYNTHETIC
WO-0043,HIST-0043,SIM-HIST-TASK-DEMO-A350-21-047,VIE,2026-09-04T22:05:00Z,2026-09-04T23:43:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0044,HIST-0044,SIM-HIST-TASK-DEMO-25-027,CDG,2026-04-20T06:05:00Z,2026-04-20T08:09:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0045,HIST-0045,SIM-HIST-TASK-DEMO-25-027,FRA,2026-05-01T04:05:00Z,2026-05-01T07:26:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0046,HIST-0046,SIM-HIST-TASK-DEMO-A350-21-047,LHR,2026-04-04T02:05:00Z,2026-04-04T02:46:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0047,HIST-0047,SIM-HIST-TASK-DEMO-A350-21-047,CDG,2026-08-01T01:05:00Z,2026-08-01T01:37:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0048,HIST-0048,SIM-HIST-TASK-DEMO-A350-21-047,AMS,2026-04-19T06:05:00Z,2026-04-19T08:20:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0049,HIST-0049,SIM-HIST-TASK-DEMO-A350-21-047,AUH,2026-08-29T05:05:00Z,2026-08-29T06:16:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0050,HIST-0050,SIM-HIST-TASK-DEMO-33-012,MUC,2026-03-26T02:05:00Z,2026-03-26T04:36:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0051,HIST-0051,SIM-HIST-TASK-DEMO-25-019,CDG,2026-05-31T23:05:00Z,2026-06-01T01:07:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0052,HIST-0052,SIM-HIST-TASK-DEMO-25-027,CDG,2026-07-29T01:05:00Z,2026-07-29T02:41:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0053,HIST-0053,SIM-HIST-TASK-DEMO-44-031,AUH,2026-07-22T03:05:00Z,2026-07-22T03:31:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0054,HIST-0054,SIM-HIST-TASK-DEMO-25-019,MUC,2026-04-11T06:05:00Z,2026-04-11T07:58:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0055,HIST-0055,SIM-HIST-TASK-DEMO-A350-21-047,VIE,2026-04-23T05:05:00Z,2026-04-23T06:13:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0056,HIST-0056,SIM-HIST-TASK-DEMO-A350-21-047,DXB,2026-04-20T02:05:00Z,2026-04-20T04:51:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0057,HIST-0057,SIM-HIST-TASK-DEMO-44-031,DOH,2026-08-06T06:05:00Z,2026-08-06T09:24:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0058,HIST-0058,SIM-HIST-TASK-DEMO-33-012,DOH,2026-06-04T04:05:00Z,2026-06-04T07:27:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0059,HIST-0059,SIM-HIST-TASK-DEMO-25-019,MUC,2026-06-22T02:05:00Z,2026-06-22T04:49:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0060,HIST-0060,SIM-HIST-TASK-DEMO-A350-21-047,DXB,2026-07-20T01:05:00Z,2026-07-20T04:34:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0061,HIST-0061,SIM-HIST-TASK-DEMO-33-012,DXB,2026-09-07T03:05:00Z,2026-09-07T05:22:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0062,HIST-0062,SIM-HIST-TASK-DEMO-44-018,BRU,2026-05-13T06:05:00Z,2026-05-13T06:40:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0063,HIST-0063,SIM-HIST-TASK-DEMO-44-031,DOH,2026-08-15T22:05:00Z,2026-08-16T00:06:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0064,HIST-0064,SIM-HIST-TASK-DEMO-25-019,AUH,2026-08-03T06:05:00Z,2026-08-03T08:51:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0065,HIST-0065,SIM-HIST-TASK-DEMO-44-018,MUC,2026-08-14T03:05:00Z,2026-08-14T06:40:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0066,HIST-0066,SIM-HIST-TASK-DEMO-25-019,BRU,2026-04-09T23:05:00Z,2026-04-10T01:12:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0067,HIST-0067,SIM-HIST-TASK-DEMO-44-018,DXB,2026-04-10T05:05:00Z,2026-04-10T05:49:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0068,HIST-0068,SIM-HIST-TASK-DEMO-33-012,DOH,2026-07-27T22:05:00Z,2026-07-28T01:17:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0069,HIST-0069,SIM-HIST-TASK-DEMO-33-012,CDG,2026-06-24T04:05:00Z,2026-06-24T06:50:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0070,HIST-0070,SIM-HIST-TASK-DEMO-33-012,AMS,2026-06-18T23:05:00Z,2026-06-19T00:53:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0071,HIST-0071,SIM-HIST-TASK-DEMO-25-027,BRU,2026-07-25T03:05:00Z,2026-07-25T03:36:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0072,HIST-0072,SIM-HIST-TASK-DEMO-44-018,ZRH,2026-07-22T05:05:00Z,2026-07-22T07:21:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0073,HIST-0073,SIM-HIST-TASK-DEMO-A350-21-047,ZRH,2026-06-18T00:05:00Z,2026-06-18T02:59:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0074,HIST-0074,SIM-HIST-TASK-DEMO-44-018,DXB,2026-06-24T04:05:00Z,2026-06-24T05:27:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0075,HIST-0075,SIM-HIST-TASK-DEMO-44-031,AMS,2026-05-12T05:05:00Z,2026-05-12T06:15:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0076,HIST-0076,SIM-HIST-TASK-DEMO-44-018,AMS,2026-05-09T23:05:00Z,2026-05-10T01:06:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0077,HIST-0077,SIM-HIST-TASK-DEMO-44-018,CDG,2026-04-05T05:05:00Z,2026-04-05T05:46:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0078,HIST-0078,SIM-HIST-TASK-DEMO-25-019,VIE,2026-03-23T22:05:00Z,2026-03-23T23:47:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0079,HIST-0079,SIM-HIST-TASK-DEMO-44-031,AMS,2026-04-20T23:05:00Z,2026-04-21T00:52:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0080,HIST-0080,SIM-HIST-TASK-DEMO-44-031,LHR,2026-06-09T04:05:00Z,2026-06-09T05:28:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0081,HIST-0081,SIM-HIST-TASK-DEMO-25-019,AUH,2026-06-17T00:05:00Z,2026-06-17T02:58:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0082,HIST-0082,SIM-HIST-TASK-DEMO-25-019,FRA,2026-08-29T04:05:00Z,2026-08-29T06:58:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0083,HIST-0083,SIM-HIST-TASK-DEMO-44-018,AMS,2026-04-23T01:05:00Z,2026-04-23T04:27:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0084,HIST-0084,SIM-HIST-TASK-DEMO-25-027,BRU,2026-07-09T05:05:00Z,2026-07-09T06:21:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0085,HIST-0085,SIM-HIST-TASK-DEMO-33-012,FCO,2026-07-15T04:05:00Z,2026-07-15T05:47:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0086,HIST-0086,SIM-HIST-TASK-DEMO-A350-21-047,DOH,2026-04-25T05:05:00Z,2026-04-25T06:28:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0087,HIST-0087,SIM-HIST-TASK-DEMO-44-031,VIE,2026-06-02T03:05:00Z,2026-06-02T05:44:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0088,HIST-0088,SIM-HIST-TASK-DEMO-33-012,ZRH,2026-05-09T03:05:00Z,2026-05-09T06:32:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0089,HIST-0089,SIM-HIST-TASK-DEMO-44-018,DXB,2026-03-19T06:05:00Z,2026-03-19T08:11:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0090,HIST-0090,SIM-HIST-TASK-DEMO-44-031,AUH,2026-06-12T06:05:00Z,2026-06-12T08:30:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0091,HIST-0091,SIM-HIST-TASK-DEMO-A350-21-047,LHR,2026-04-25T01:05:00Z,2026-04-25T04:23:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0092,HIST-0092,SIM-HIST-TASK-DEMO-44-018,MUC,2026-03-26T06:05:00Z,2026-03-26T08:29:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0093,HIST-0093,SIM-HIST-TASK-DEMO-33-012,VIE,2026-08-16T01:05:00Z,2026-08-16T03:33:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0094,HIST-0094,SIM-HIST-TASK-DEMO-A350-21-047,ZRH,2026-07-26T02:05:00Z,2026-07-26T04:25:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0095,HIST-0095,SIM-HIST-TASK-DEMO-44-018,BRU,2026-04-24T23:05:00Z,2026-04-24T23:32:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0096,HIST-0096,SIM-HIST-TASK-DEMO-44-031,BRU,2026-05-02T23:05:00Z,2026-05-03T00:02:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0097,HIST-0097,SIM-HIST-TASK-DEMO-25-019,LHR,2026-06-30T23:05:00Z,2026-07-01T00:21:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0098,HIST-0098,SIM-HIST-TASK-DEMO-25-027,FRA,2026-07-06T05:05:00Z,2026-07-06T06:50:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0099,HIST-0099,SIM-HIST-TASK-DEMO-33-012,MUC,2026-08-21T05:05:00Z,2026-08-21T05:30:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0100,HIST-0100,SIM-HIST-TASK-DEMO-44-031,AMS,2026-06-22T23:05:00Z,2026-06-23T00:09:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0101,HIST-0101,SIM-HIST-TASK-DEMO-44-031,FCO,2026-04-06T04:05:00Z,2026-04-06T06:22:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0102,HIST-0102,SIM-HIST-TASK-DEMO-33-012,LHR,2026-03-21T04:05:00Z,2026-03-21T06:45:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0103,HIST-0103,SIM-HIST-TASK-DEMO-25-019,DXB,2026-06-03T05:05:00Z,2026-06-03T08:48:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0104,HIST-0104,SIM-HIST-TASK-DEMO-25-027,DOH,2026-08-30T05:05:00Z,2026-08-30T05:32:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0105,HIST-0105,SIM-HIST-TASK-DEMO-33-012,DOH,2026-03-25T04:05:00Z,2026-03-25T07:33:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0106,HIST-0106,SIM-HIST-TASK-DEMO-A350-21-047,FCO,2026-04-25T03:05:00Z,2026-04-25T04:15:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0107,HIST-0107,SIM-HIST-TASK-DEMO-A350-21-047,FRA,2026-09-01T03:05:00Z,2026-09-01T06:29:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0108,HIST-0108,SIM-HIST-TASK-DEMO-25-027,DOH,2026-05-20T23:05:00Z,2026-05-21T00:59:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0109,HIST-0109,SIM-HIST-TASK-DEMO-33-012,DXB,2026-07-04T06:05:00Z,2026-07-04T08:23:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0110,HIST-0110,SIM-HIST-TASK-DEMO-44-031,DOH,2026-07-19T02:05:00Z,2026-07-19T04:35:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0111,HIST-0111,SIM-HIST-TASK-DEMO-44-018,FRA,2026-05-12T22:05:00Z,2026-05-12T23:55:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0112,HIST-0112,SIM-HIST-TASK-DEMO-25-027,AMS,2026-09-11T05:05:00Z,2026-09-11T06:26:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0113,HIST-0113,SIM-HIST-TASK-DEMO-25-027,LHR,2026-05-17T06:05:00Z,2026-05-17T06:41:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0114,HIST-0114,SIM-HIST-TASK-DEMO-44-018,AMS,2026-04-28T06:05:00Z,2026-04-28T09:49:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0115,HIST-0115,SIM-HIST-TASK-DEMO-44-018,MUC,2026-04-27T01:05:00Z,2026-04-27T02:48:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0116,HIST-0116,SIM-HIST-TASK-DEMO-A350-21-047,ZRH,2026-03-24T01:05:00Z,2026-03-24T04:21:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
