defect_id,aircraft_id,fault_code,station,reported_at,symptom_text,resolution_text,resolution_class,replaced_part_id,ground_minutes,engineer_id,status,data_class
HIST-0011,AC-006,DEMO-25-027,DXB,2026-07-05T03:05:00Z,Galley status display indication; recorded intermittently on sector 11.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-006,178,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0012,AC-005,DEMO-44-018,FCO,2026-07-21T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 12.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,36,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0013,AC-006,DEMO-25-019,DXB,2026-05-04T00:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 13.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,174,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0014,AC-003,DEMO-44-031,VIE,2026-06-19T01:05:00Z,IFE interface intermittent; recorded intermittently on sector 14.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-011,146,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0015,AC-006,DEMO-44-018,BRU,2026-05-05T00:05:00Z,Cabin display data intermittent; recorded intermittently on sector 15.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,195,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0016,AC-001,DEMO-25-019,AMS,2026-05-05T22:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 16.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,205,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0017,AC-004,DEMO-25-027,CDG,2026-08-13T22:05:00Z,Galley status display indication; recorded intermittently on sector 17.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,134,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0018,AC-002,DEMO-25-027,CDG,2026-04-12T23:05:00Z,Galley status display indication; recorded intermittently on sector 18.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,169,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0019,AC-003,DEMO-33-012,FCO,2026-03-29T22:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 19.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,69,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0020,AC-002,DEMO-44-018,CDG,2026-06-20T23:05:00Z,Cabin display data intermittent; recorded intermittently on sector 20.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,180,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0021,AC-006,DEMO-25-019,AMS,2026-06-01T06:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 21.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,170,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0022,AC-005,DEMO-44-031,AUH,2026-07-26T05:05:00Z,IFE interface intermittent; recorded intermittently on sector 22.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,115,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0023,AC-004,DEMO-33-012,AMS,2026-09-05T02:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 23.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,89,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0024,AC-004,DEMO-44-031,MUC,2026-04-07T02:05:00Z,IFE interface intermittent; recorded intermittently on sector 24.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,183,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0025,AC-006,DEMO-44-031,VIE,2026-04-17T02:05:00Z,IFE interface intermittent; recorded intermittently on sector 25.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,154,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0026,AC-006,DEMO-25-019,ZRH,2026-07-27T00:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 26.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,35,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0027,AC-003,DEMO-A350-21-047,DOH,2026-04-17T04:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 27.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,205,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0028,AC-006,DEMO-44-018,FCO,2026-06-22T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 28.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-003,103,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0029,AC-002,DEMO-44-018,ZRH,2026-07-17T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 29.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,170,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0030,AC-003,DEMO-33-012,DOH,2026-05-03T00:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 30.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,101,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0031,AC-002,DEMO-25-027,LHR,2026-06-11T06:05:00Z,Galley status display indication; recorded intermittently on sector 31.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-006,36,ENG-LHR-01,CLOSED,SYNTHETIC
HIST-0032,AC-003,DEMO-25-019,CDG,2026-05-12T04:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 32.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,48,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0033,AC-003,DEMO-44-018,FCO,2026-08-25T02:05:00Z,Cabin display data intermittent; recorded intermittently on sector 33.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,190,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0034,AC-004,DEMO-33-012,AUH,2026-05-06T03:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 34.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,96,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0035,AC-004,DEMO-44-031,VIE,2026-06-14T23:05:00Z,IFE interface intermittent; recorded intermittently on sector 35.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-011,208,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0036,AC-005,DEMO-44-018,FCO,2026-04-29T04:05:00Z,Cabin display data intermittent; recorded intermittently on sector 36.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,104,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0037,AC-001,DEMO-44-018,MUC,2026-03-30T06:05:00Z,Cabin display data intermittent; recorded intermittently on sector 37.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,100,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0038,AC-001,DEMO-33-012,AUH,2026-09-06T06:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 38.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,92,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0039,AC-005,DEMO-25-027,ZRH,2026-08-19T03:05:00Z,Galley status display indication; recorded intermittently on sector 39.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-006,187,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0040,AC-002,DEMO-44-031,FRA,2026-07-17T02:05:00Z,IFE interface intermittent; recorded intermittently on sector 40.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-011,179,ENG-FRA-01,CLOSED,SYNTHETIC
HIST-0041,AC-003,DEMO-25-019,BRU,2026-06-19T22:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 41.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,196,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0042,AC-001,DEMO-A350-21-047,FRA,2026-08-03T06:05:00Z,Cabin-zone temperature indication flickered; cabin crew report recorded. Same indication group as current simulation.,Record reports an indication connection issue corrected; no component consumed. Historical finding only. New inspection required; root cause not inferred.,INDICATION_CORRECTED,,48,ENG-FRA-01,CLOSED,SYNTHETIC
HIST-0043,AC-005,DEMO-A350-21-047,VIE,2026-09-04T22:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 43.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,98,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0044,AC-003,DEMO-25-027,CDG,2026-04-20T06:05:00Z,Galley status display indication; recorded intermittently on sector 44.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,124,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0045,AC-001,DEMO-25-027,FRA,2026-05-01T04:05:00Z,Galley status display indication; recorded intermittently on sector 45.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,201,ENG-FRA-01,CLOSED,SYNTHETIC
HIST-0046,AC-006,DEMO-A350-21-047,LHR,2026-04-04T02:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 46.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,41,ENG-LHR-01,CLOSED,SYNTHETIC
HIST-0047,AC-003,DEMO-A350-21-047,CDG,2026-08-01T01:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 47.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,32,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0048,AC-006,DEMO-A350-21-047,AMS,2026-04-19T06:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 48.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,135,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0049,AC-003,DEMO-A350-21-047,AUH,2026-08-29T05:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 49.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,71,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0050,AC-002,DEMO-33-012,MUC,2026-03-26T02:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 50.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,151,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0051,AC-003,DEMO-25-019,CDG,2026-05-31T23:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 51.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,122,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0052,AC-006,DEMO-25-027,CDG,2026-07-29T01:05:00Z,Galley status display indication; recorded intermittently on sector 52.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,96,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0053,AC-004,DEMO-44-031,AUH,2026-07-22T03:05:00Z,IFE interface intermittent; recorded intermittently on sector 53.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,26,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0054,AC-004,DEMO-25-019,MUC,2026-04-11T06:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 54.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,113,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0055,AC-002,DEMO-A350-21-047,VIE,2026-04-23T05:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 55.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,68,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0056,AC-002,DEMO-A350-21-047,DXB,2026-04-20T02:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 56.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,166,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0057,AC-006,DEMO-44-031,DOH,2026-08-06T06:05:00Z,IFE interface intermittent; recorded intermittently on sector 57.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,199,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0058,AC-003,DEMO-33-012,DOH,2026-06-04T04:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 58.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,202,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0059,AC-004,DEMO-25-019,MUC,2026-06-22T02:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 59.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,164,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0060,AC-006,DEMO-A350-21-047,DXB,2026-07-20T01:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 60.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,209,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0061,AC-001,DEMO-33-012,DXB,2026-09-07T03:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 61.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,137,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0062,AC-003,DEMO-44-018,BRU,2026-05-13T06:05:00Z,Cabin display data intermittent; recorded intermittently on sector 62.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,35,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0063,AC-005,DEMO-44-031,DOH,2026-08-15T22:05:00Z,IFE interface intermittent; recorded intermittently on sector 63.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-011,121,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0064,AC-006,DEMO-25-019,AUH,2026-08-03T06:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 64.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,166,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0065,AC-005,DEMO-44-018,MUC,2026-08-14T03:05:00Z,Cabin display data intermittent; recorded intermittently on sector 65.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,215,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0066,AC-001,DEMO-25-019,BRU,2026-04-09T23:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 66.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,127,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0067,AC-002,DEMO-44-018,DXB,2026-04-10T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 67.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,44,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0068,AC-006,DEMO-33-012,DOH,2026-07-27T22:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 68.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,192,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0069,AC-004,DEMO-33-012,CDG,2026-06-24T04:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 69.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,165,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0070,AC-001,DEMO-33-012,AMS,2026-06-18T23:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 70.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,108,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0071,AC-005,DEMO-25-027,BRU,2026-07-25T03:05:00Z,Galley status display indication; recorded intermittently on sector 71.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,31,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0072,AC-002,DEMO-44-018,ZRH,2026-07-22T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 72.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-003,136,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0073,AC-006,DEMO-A350-21-047,ZRH,2026-06-18T00:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 73.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,174,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0074,AC-004,DEMO-44-018,DXB,2026-06-24T04:05:00Z,Cabin display data intermittent; recorded intermittently on sector 74.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,82,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0075,AC-004,DEMO-44-031,AMS,2026-05-12T05:05:00Z,IFE interface intermittent; recorded intermittently on sector 75.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,70,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0076,AC-004,DEMO-44-018,AMS,2026-05-09T23:05:00Z,Cabin display data intermittent; recorded intermittently on sector 76.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,121,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0077,AC-005,DEMO-44-018,CDG,2026-04-05T05:05:00Z,Cabin display data intermittent; recorded intermittently on sector 77.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,41,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0078,AC-006,DEMO-25-019,VIE,2026-03-23T22:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 78.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,102,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0079,AC-002,DEMO-44-031,AMS,2026-04-20T23:05:00Z,IFE interface intermittent; recorded intermittently on sector 79.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-011,107,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0080,AC-005,DEMO-44-031,LHR,2026-06-09T04:05:00Z,IFE interface intermittent; recorded intermittently on sector 80.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,83,ENG-LHR-01,CLOSED,SYNTHETIC
HIST-0081,AC-006,DEMO-25-019,AUH,2026-06-17T00:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 81.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,173,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0082,AC-006,DEMO-25-019,FRA,2026-08-29T04:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 82.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,173,ENG-FRA-01,CLOSED,SYNTHETIC
HIST-0083,AC-005,DEMO-44-018,AMS,2026-04-23T01:05:00Z,Cabin display data intermittent; recorded intermittently on sector 83.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-003,202,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0084,AC-005,DEMO-25-027,BRU,2026-07-09T05:05:00Z,Galley status display indication; recorded intermittently on sector 84.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,76,ENG-BRU-01,CLOSED,SYNTHETIC
HIST-0085,AC-006,DEMO-33-012,FCO,2026-07-15T04:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 85.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,102,ENG-FCO-01,CLOSED,SYNTHETIC
HIST-0086,AC-004,DEMO-A350-21-047,DOH,2026-04-25T05:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 86.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,83,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0087,AC-003,DEMO-44-031,VIE,2026-06-02T03:05:00Z,IFE interface intermittent; recorded intermittently on sector 87.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,159,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0088,AC-001,DEMO-33-012,ZRH,2026-05-09T03:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 88.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,207,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0089,AC-005,DEMO-44-018,DXB,2026-03-19T06:05:00Z,Cabin display data intermittent; recorded intermittently on sector 89.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,126,ENG-DXB-01,CLOSED,SYNTHETIC
HIST-0090,AC-005,DEMO-44-031,AUH,2026-06-12T06:05:00Z,IFE interface intermittent; recorded intermittently on sector 90.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,145,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0091,AC-004,DEMO-A350-21-047,LHR,2026-04-25T01:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 91.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,198,ENG-LHR-01,CLOSED,SYNTHETIC
HIST-0092,AC-006,DEMO-44-018,MUC,2026-03-26T06:05:00Z,Cabin display data intermittent; recorded intermittently on sector 92.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,144,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0093,AC-003,DEMO-33-012,VIE,2026-08-16T01:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 93.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,148,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0094,AC-002,DEMO-A350-21-047,ZRH,2026-07-26T02:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 94.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,140,ENG-ZRH-01,CLOSED,SYNTHETIC
HIST-0095,AC-006,DEMO-44-018,BRU,2026-04-24T23:05:00Z,Cabin display data intermittent; recorded intermittently on sector 95.,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,INDICATION_CORRECTED,,27,ENG-BRU-01,CLOSED,SYNTHETIC
